Code,Parent Code,Full Code,Meaning,Effective From Date,Effective To Date,Usage Guidelines,Notes,SortPolicyOrder,,
089,SF75,SF75089,Made an alteration in the bed of a river so as to reduce the flow of water through a free gap,11/06/1997,,Section: 7(2)  &  (4)  &  Sch 4,,SF750890,,
090,SF75,SF75090,Using an unauthorised fishing mill dam for taking salmon or migratory trout,11/06/1997,,Section: 8(1)  &  (3)  &  Sch 4,,SF750900,,
091,SF75,SF75091,Using an unauthorised fishing mill dam for facilitating the taking of salmon or migratory trout,11/06/1997,,Section: 8(1)  &  (3)  &  Sch 4,,SF750910,,
092,SF75,SF75092,Using a fishing mill dam which does not satisfy the conditions of Section 8(2),11/06/1997,,Section: 8(2)  &  (3)(b)  &  Sch 4,,SF750920,,
093,SF75,SF75093,Attempting to use a fishing mill which did not satisfy the conditions of Section 8(2),11/06/1997,,Section: 8(2)  &  (3)(b)  &  Sch 4,,SF750930,,
094,SF75,SF75094,Wilfully altered or injured a fish pass,11/06/1997,,Section: 12(1)  &  Sch 4,,SF750940,,
095,SF75,SF75095,Did an act whereby salmon or trout were obstructed or liable to be obstructed in using a fish pass,11/06/1997,,Section: 12(1)  &  Sch 4,,SF750950,,
096,SF75,SF75096,Did an act whereby a fish pass was rendered less efficient,11/06/1997,,Section: 12(1)  &  Sch 4,,SF750960,,
097,SF75,SF75097,Altered a dam so as to render a fish pass less efficient,11/06/1997,,Section: 12(1)  &  Sch 4,,SF750970,,
098,SF75,SF75098,Altered the bed or banks of a river so as to render a fish pass less efficient,11/06/1997,,Section: 12(1)  &  Sch 4,,SF750980,,
099,SF75,SF75099,"Used a contrivance whereby salmon or trout were in any way liable to be scared, hindered or prevented from passing through a fish pass",11/06/1997,,Section: 12(1)  &  Sch 4,,SF750990,,
100,SF75,SF75100,"Did an act whereby salmon or trout were in any way liable to be scared, hindered or prevented from passing through a fish pass",11/06/1997,,Section: 12(1)  &  Sch 4,,SF751000,,
101,SF75,SF75101,Did an act for the purpose of preventing salmon or trout from passing through a fish pass,11/06/1997,,Section: 12(3)(a)  &  Sch 4,,SF751010,,
102,SF75,SF75102,Took Salmon or trout in its passage through a fish pass,11/06/1997,,Section: 12(3)(a)  &  Sch 4,,SF751020,,
103,SF75,SF75103,Attempted to take salmon or trout in its passage through a fish pass,11/06/1997,,Section: 12(3)(a)  &  Sch 4,,SF751030,,
104,SF75,SF75104,"Placed an obstruction whereby salmon or trout may have been scared, deterred or prevented from freely entering and passing up or down a free gap at all periods of the year",11/06/1997,,Section: 12(3)(b)  &  Sch 4,,SF751040,,
105,SF75,SF75105,"Used a contrivance whereby salmon or trout may have been scared, deterred or prevented from freely entering and passing up or down a free gap at all periods of the year",11/06/1997,,Section: 12(3)(b)  &  Sch 4,,SF751050,,
106,SF75,SF75106,"Did an act whereby salmon or trout may have been scared, deterred or prevented from freely entering and passing up or down a free gap at all periods of the year.",11/06/1997,,Section: 12(3)(b)  &  Sch 4,,SF751060,,
107,SF75,SF75107,"Failed to keep a sluice shut, which was used for drawing off water which would otherwise flow over a dam in waters frequented by salmon or migratory trout to allow water to flow through any fish pass in or connected with the dam or over the dam",11/06/1997,,Section: 13(1)  &  (2)  &  Sch 4,,SF751070,,
108,SF75,SF75108,Using a fishing weir or a fishing mill dam for the taking of salmon or migratory trout by means of boxes or cribs,11/06/1997,,Section: 16(1)  &  (2)  &  Sch 4,,SF751080,,
109,SF75,SF75109,"Took salmon or trout, other than with a rod and line, at a place above or below a dam or obstruction or in an artificial channel connected with a dam or obstruction which hinders or retards the passage of salmon or trout or in waters under or adjacent to",11/06/1997,,Section: 17(1)  &  Sch 4,,SF751090,,
110,SF75,SF75110,"Attempted to take salmon or trout, other than with a rod and line, at a place above or below a dam or obstruction or in an artificial channel connected with a dam or obstruction which hinders or retards the passage of salmon or trout or in waters under or",11/06/1997,,Section: 17(1)  &  Sch 4,,SF751100,,
111,SF75,SF75111,"Killed salmon or trout, other than with a rod and line, at a place above or below a dam or obstruction or in an artificial channel connected with a dam or obstruction which hinders or retards the passage of salmon or trout or in waters under or adjacent t",11/06/1997,,Section: 17(1)  &  Sch 4,,SF751110,,
112,SF75,SF75112,"Attempted to kill salmon or trout, other than with a rod and line, at a place above or below a dam or obstruction or in an artificial channel connected with a dam or obstruction which hinders or retards the passage of salmon or trout or in waters under or",11/06/1997,,Section: 17(1)  &  Sch 4,,SF751120,,
113,SF75,SF75113,"Scared or disturbed salmon or trout, other than with a rod and line, at a place above or below a dam or obstruction or in an artificial channel connected with a dam or obstruction which hinders or retards the passage of salmon or trout or in waters under",11/06/1997,,Section: 17(1)  &  Sch 4,,SF751130,,
114,SF75,SF75114,"Obstructing a legally authorised person doing an act authorised by Section 9, 10 or 15",11/06/1997,,Section: 18(1)  &  Sch 4,,SF751140,,
115,SF75,SF75115,"The owner of a new dam which was constructed, or an existing dam which was raised or altered so as to create increased obstruction to the passage of salmon or migratory trout; or created, increased or caused an obstruction to the passage of salmon or migr",11/06/1997,,Section: 9(1)(a)  &  (2)  &  Sch 4,,SF751150,,
116,SF75,SF75116,"The occupier for the time being of a new dam which was constructed, or an existing dam which was raised or altered so as to create increased obstruction to the passage of salmon or migratory trout; or created, increased or caused an obstruction to the pas",11/06/1997,,Section: 9(1)(a)  &  (2)  &  Sch 4,,SF751160,,
117,SF75,SF75117,The owner of a dam which from any cause had been destroyed or a dam from which any cause had been taken down and being required by a water authority to make a fish pass for salmon or migratory trout as part of the structure/in connection with the dam and,11/06/1997,,Section: 9(1)(b)  &  (2),,SF751170,,
118,SF75,SF75118,The occupier for the time being of a dam which from any cause had been destroyed or a dam from which any cause had been taken down and being required by a water authority to make a fish pass for salmon or migratory trout as part of the structure/in connec,11/06/1997,,Section: 9(1)(b)  &  (2),,SF751180,,
119,SF75,SF75119,Obstructing a water bailiff,11/06/1997,,Section: 31(2),,SF751190,,
120,SF75,SF75120,Introduce fish / spawn of fish into inland water without Agency consent,11/06/1997,,Section: 30,,SF751200,,
121,SF75,SF75121,Possess fish / spawn of fish with intent to introduce it into inland water without Agency consent,11/06/1997,,Section: 30,,SF751210,,
004,SF83,SF83004,Person within British fishery limit assaulting person belonging to another sea-fishing boat,,01/01/1901,Section: 4(b),,SF830040,,
005,SF83,SF83005,Person on British sea-fishing vessel outside British fishery limit assaulting person belonging to another sea-fishing boat,,01/01/1901,Section: 4(b),,SF830050,,
006,SF83,SF83006,Person within British fishery limit damaging another sea-fishing boat,,01/01/1901,Section: 4(b),,SF830060,,
007,SF83,SF83007,Person on British sea-fishing vessel outside British fishery limit damaging another sea- fishing boat,,01/01/1901,Section: 4(b),,SF830070,,
008,SF83,SF83008,Person within British fishery limit damaging property on another sea-fishing boat,,01/01/1901,Section: 4(b),,SF830080,,
009,SF83,SF83009,Person on British sea-fishing vessel outside British fishery limit damaging property on another sea-fishing boat,,01/01/1901,Section: 4(b),,SF830090,,
010,SF83,SF83010,Person within British fishery limit fishing for oysters during prohibited period,,01/01/1901,Section: 4(c),,SF830100,,
011,SF83,SF83011,Person on British sea-fishing vessel outside British fishery limit fishing for oysters during prohibited period,,01/01/1901,Section: 4(c),,SF830110,,
012,SF83,SF83012,Person within British fishery limit possessing oyster dredge during prohibited period,,01/01/1901,Section: 4(c),,SF830120,,
013,SF83,SF83013,Person on British sea-fishing vessel outside British fishery limit possessing oyster dredge during prohibited period,,01/01/1901,Section: 4(c),,SF830130,,
014,SF83,SF83014,Person within British fishery limit using instrument to damage or destroy fishing implement of another boat,,01/01/1901,Section: 5(a),,SF830140,,
015,SF83,SF83015,Person on British sea-fishing vessel outside British fishery limit using instrument to damage or destroy fishing implement of another boat,,01/01/1901,Section: 5(a),,SF830150,,
016,SF83,SF83016,Person within British fishery limit possessing or taking on board instrument intended or serving only to damage or destroy fishing implements,,01/01/1901,Section: 5(b),,SF830160,,
017,SF83,SF83017,Person on British sea-fishing vessel outside British fishery limit possessing or taking on board instrument intended or serving only to damage or destroy fishing implements,,01/01/1901,Section: 5(b),,SF830170,,
018,SF83,SF83018,Obstructing sea-fishery officer exercising power under this Act,,01/01/1901,Section: 14(2),,SF830180,,
019,SF83,SF83019,Refusing or neglecting to comply with direction made by sea-fishery officer,,01/01/1901,Section: 14(2),,SF830190,,
020,SF83,SF83020,Refusing to answer sea-fishery officer's question,,01/01/1901,Section: 14(2),,SF830200,,
021,SF83,SF83021,Forging sea-fishery officer's signature,,01/01/1901,Section: 17(4),,SF830210,,
022,SF83,SF83022,Using document knowing that sea-fishery officer's signature on it is forged,,01/01/1901,Section: 17(4),,SF830220,,
001,SF86,SF86001,Handling salmon in suspicious circumstances,,,Section: 32,,SF860010,,
003,SF95,SF95003,Owner of ship failing to proceed to port as directed by officer exercising power under this Act,,,Section: 4(1),,SF950030,,
004,SF95,SF95004,Master of ship failing to proceed to port as directed by officer exercising power under this Act,,,Section: 4(1),,SF950040,,
001,SF97,SF97001,Failure to notify police of name(s) or any change thereto,,01/01/1901,Section: 3(1)(a),,SF970010,,
002,SF97,SF97002,Failure to notify police of address(es) or changes thereto,,01/01/1901,Section: 3(1)(a),,SF970020,,
003,SF97,SF97003,Notifying police with false information re name(s),,01/01/1901,Section: 3(1)(b),,SF970030,,
004,SF97,SF97004,Notifying police with false information re home address(es),,01/01/1901,Section: 3(1)(b),,SF970040,,
005,SF97,SF97005,Sex offender failing to notify name/address to the police. on initial registration,,30/04/2004,Section: 3(1)(a),,SF970050,,
006,SF97,SF97006,Sex offender failing to notify changed name/address to the police subsequent to registration,,30/04/2004,Section: 3(1)(a),,SF970060,,
007,SF97,SF97007,Sex offender giving false name/address to the police on registration,,30/04/2004,Section: 3(1)(b),,SF970070,,
008,SF97,SF97008,Sex offender giving false information to the police subsequent to registration,,30/04/2004,Section: 3(1)(b),,SF970080,,
009,SF97,SF97009,Fail to allow police to take fingerprints and/or photographs,,30/04/2004,Section: 3(1B)(a) & 3(1A),,SF970090,,
010,SF97,SF97010,Fail to notify movements before leaving UK,,30/04/2004,Section: 3(1B)(a) & 3(1A),,SF970100,,
011,SF97,SF97011,Fail to notify police about return to UK,,30/04/2004,Section: 3(1B)(a) & 3(1A),,SF970110,,
012,SF97,SF97012,Fail to comply with the prohibitions of a sex offenders restraining order,,30/04/2004,Section: 5A(8) & (9),,SF970120,,
025,SH50,SH50025,Unlawfully trading on a Sunday,,01/01/1901,Section: 59,,SH500250,,
027,SH50,SH50027,Butcher or meat retailer unlawfully remaining open on Sunday,,01/01/1901,Section: 64,,SH500270,,
028,SH50,SH50028,Barber or hairdresser unlawfully remaining open on a Sunday,,01/01/1901,Section: 67,,SH500280,,
029,SH50,SH50029,Unlawfully trading on Sunday,,01/01/1901,Section: 59,,SH500290,,
001,SH67,SH67001,Dredging fishing for or taking shellfish contrary to restriction or regulation in Order,,,Section: 3(3),,SH670010,,
002,SH67,SH67002,Failing to pay toll or royalty when Dredging fishing for or taking shellfish,,,Section: 3(3),,SH670020,,
003,SH67,SH67003,Obstructing authorised officer exercising power under s5(4),,,Section: 5(7),,SH670030,,
004,SH67,SH67004,Refusing to provide information required by authorised officer,,,Section: 5(7),,SH670040,,
005,SH67,SH67005,Person not grantee/owner etc of shellfish bed use implement not line & hook/specified net w/i limit private oyster bed,,,Section: 7(4)(a),,SH670050,,
006,SH67,SH67006,Person not grantee/owner etc of shellfish bed unlawfully dredge for ballast etc w/I limit private oyster bed,,,Section: 7(4)(b),,SH670060,,
007,SH67,SH67007,Person not grantee/owner etc of shellfish bed deposit ballast etc w/i limit of private oyster bed,,,Section: 7(4)(c),,SH670070,,
008,SH67,SH67008,Person not grantee/owner etc of shellfish bed place implement etc prejudicial to shellfish w/i limit private oyster bed,,,Section: 7(4)(d),,SH670080,,
009,SH67,SH67009,Unlawfully disturbing or injuring shellfish etc within limit of private oyster bed,,,Section: 7(4)(e),,SH670090,,
010,SH67,SH67010,Contravening Secretary of State's Order under ss12 or 13 concerning depositing or importing shellfish,,,Section: 14(2),,SH670100,,
011,SH67,SH67011,Obstructing authorised officer exercising power under s14(3),,,Section: 14(5),,SH670110,,
012,SH67,SH67012,Selling oysters between 14 May and 4 August,,,Section: 16(1),,SH670120,,
013,SH67,SH67013,Exposing for sale oysters between 14 May and 4 August,,,Section: 16(1),,SH670130,,
014,SH67,SH67014,Buying for sale oysters between 14 May and 4 August,,,Section: 16(1),,SH670140,,
015,SH67,SH67015,Co-signing for sale oysters between 14 May and 4 August,,,Section: 16(1),,SH670150,,
016,SH67,SH67016,Taking edible crab with spawn attached to tail or exterior or which has recently cast its shell,,,Section: 17(1),,SH670160,,
017,SH67,SH67017,Possessing edible crab with spawn attached to tail or exterior or which has recently cast its shell,,,Section: 17(1),,SH670170,,
018,SH67,SH67018,Selling edible crab with spawn attached to tail or exterior or which has recently cast its shell,,,Section: 17(1),,SH670180,,
019,SH67,SH67019,Exposing for sale edible crab with spawn attached to tail or exterior or which has recently cast its shell,,,Section: 17(1),,SH670190,,
020,SH67,SH67020,Buying for sale edible crab with spawn attached to tail or exterior or which has recently cast its shell,,,Section: 17(1),,SH670200,,
021,SH67,SH67021,Consigning for sale edible crab with spawn attached to tail or exterior or which has recently cast its shell,,,Section: 17(1),,SH670210,,
022,SH67,SH67022,Landing edible crab with spawn attached to tail or exterior contrary to Secretary of State's Order,,,Section: 17(3),,SH670220,,
023,SH67,SH67023,Selling edible crab with spawn attached to tail or exterior contrary to Secretary of State's Order,,,Section: 17(3),,SH670230,,
024,SH67,SH67024,Exposing for sale edible crab with spawn attached to tail or exterior contrary to Secretary of State's Order,,,Section: 17(3),,SH670240,,
025,SH67,SH67025,Offering for sale edible crab with spawn attached to tail or exterior contrary to Secretary of State's Order,,,Section: 17(3),,SH670250,,
026,SH67,SH67026,Possessing for sale edible crab with spawn attached to tail or exterior contrary to Secretary of State's Order,,,Section: 17(3),,SH670260,,
001,SH68,SH68001,Master of sea-fishing vessel being within British waters without having official papers,,,Section: 26,,SH680010,,
002,SH68,SH68002,Master of British sea-fishing vessel having no official papers,,,Section: 26,,SH680020,,
001,SH87,SH87001,Resisting sheriff in the execution of a writ,,,Section: 8(2),,SH870010,,
001,SL74,SL74001,Failing to have slaughterhouse or knacker's yard licensed,,28/09/2005,Section: 1(1),,SL740010,,
002,SL74,SL74002,Applicant for slaughterhouse licence making materially false statement,,,Section: 2(5),,SL740020,,
003,SL74,SL74003,Applicant for knacker's yard licence making materially false statement,,28/09/2005,Section: 4(5),,SL740030,,
004,SL74,SL74004,Causing part of building containing slaughterhall to be used as dwelling,,,Section: 11(1),,SL740040,,
005,SL74,SL74005,Occupier of slaughterhouse or knacker's yard failing to display legible notice,,,Section: 13(1),,SL740050,,
006,SL74,SL74006,Disclose without authorisation trade secret or manufacturing process,,28/09/2005,Section: 20(4),,SL740060,,
007,SL74,SL74007,Wilfully obstruct person authorised to exercise power of entry and inspection with regard to licensing,,28/09/2005,Section: 21(1),,SL740070,,
008,SL74,SL74008,Fail to give assistance as required to person authorised to exercise power of entry/inspection with regard to licensing,,28/09/2005,Section: 21(2)(a),,SL740080,,
009,SL74,SL74009,Fail to give information as required to person authorised to exercise power of entry/inspection with regard to licensing,,28/09/2005,Section: 21(2)(b),,SL740090,,
010,SL74,SL74010,Making deliberate misstatement to person authorised to exercise power of entry and inspection with regard to licensing,,28/09/2005,Section: 21(2)(c),,SL740100,,
011,SL74,SL74011,Failing to render animal insensible to pain and thereafter to slaughter it instantaneously,,,Section: 36(1)  & (5),,SL740110,,
012,SL74,SL74012,Failing to anaesthetize certain swine before slaughter and thereafter to slaughter them instantaneously in proper manner,,,Section: 37(1)  & (3),,SL740120,,
013,SL74,SL74013,Unlicensed slaughterer slaughtering animal,,,Section: 39(1)  & (3),,SL740130,,
014,SL74,SL74014,Unlicensed slaughterer stunning animal,,,Section: 39(1)  & (3),,SL740140,,
015,SL74,SL74015,Applicant for slaughterer's licence making materially false statement,,,Section: 40(8),,SL740150,,
016,SL74,SL74016,Wilfully obstruct person authorised to exercise power of entry/inspection with regard to humane slaughter of animal,,,Section: 42(2),,SL740160,,
017,SL74,SL74017,Permitting part of building containing slaughterhall to be used as dwelling,,,Section: 11(1),,SL740170,,
018,SL74,SL74018,Unlicensed slaughterer attempting to slaughter animal,,,Section: 39(1)  & (3),,SL740180,,
019,SL74,SL74019,Unlicensed slaughterer attempting to stun animal,,,Section: 39(1)  & (3),,SL740190,,
001,SM64,SM64001,Dealing in scrap metal when unregistered,,,Section: 1(1)  &  (7),,SM640010,,
005,SM64,SM64005,Failing to keep record book for scrap metal dealing,,,Section: 2(6),,SM640050,,
006,SM64,SM64006,Failing to record particular of scrap metal dealing,,,Section: 2(6),,SM640060,,
007,SM64,SM64007,Acquiring scrap metal from person apparently under 16,,,Section: 5(1),,SM640070,,
008,SM64,SM64008,Giving false detail on sale of scrap,,,Section: 5(2),,SM640080,,
009,SM64,SM64009,Scrap metal dealer failing to notify change to register,31/10/1995,,Section: 1(7),,SM640090,,
010,SM64,SM64010,Failing to notify cessation of scrap metal business,,,Section: 1(8),,SM640100,,
011,SM64,SM64011,Scrap dealer failing to make record of the disposal of metal.,05/01/1996,,Section: 2(6),,SM640110,,
012,SM64,SM64012,Scrap metal dealer fail to notify destruction of motor vehicle,,,Section: 4A(4),,SM640120,,
001,SN80,SN80001,Charging entrance fee to place of public entertainment or amusement on Sunday,,,Section: 1,,SN800010,,
001,SO05,SO05001,Fail to obey a police direction to leave an exclusion area,01/07/2005,,Section: 112,,SO050010,,
002,SO05,SO05002,Assault a designated person or assistant in the exercise of a relevant power,01/04/2006,,Section: 51(1) & (4),,SO050020,,
003,SO05,SO05003,Wilfully obstruct / resist a designated person or assistant in the exercise of a relevant power,01/04/2006,,Section: 51(2) & (5),,SO050030,,
004,SO05,SO05004,With intent to deceive impersonate pose as a designated person,01/04/2006,,Section: 51(3) & (4),,SO050040,,
005,SO05,SO05005,Assault member of a joint investigation team carrying out functions as a team member,01/04/2006,,Section: 57(2) & (4),,SO050050,,
006,SO05,SO05006,Wilfully obstruct / resist member of a joint investigation team carrying out functions as a team member,01/04/2006,,Section: 57(3) & (4),,SO050060,,
007,SO05,SO05007,Fail to comply with a requirement re s.62 - disclosure or s.63 - production of documents,01/04/2006,,Section: 67(1) & (4),,SO050070,,
008,SO05,SO05008,Make false / misleading statements in purported compliance with requirement re s.62 - disclosure or s.63 - production,01/04/2006,,Section: 67(2) & (5),,SO050080,,
009,SO05,SO05009,Obstruct a person in the exercise of right conferred by s.66 warrant to enter and seize documents,01/04/2006,,Section: 67(3) & (5),,SO050090,,
010,SO05,SO05010,Include false/misleading information in a financial reporting order/fail to comply with requirement,01/04/2006,,Section: 79(10),,SO050100,,
011,SO05,SO05011,Disclose information about protection arrangements,01/04/2006,,Section: 86,,SO050110,,
012,SO05,SO05012,Person discloses information that they have assumed a new identity,01/04/2006,,Section: 88(1) & (3),,SO050120,,
013,SO05,SO05013,Disclose information that a person had assumed a new identity,01/04/2006,,Section: 88(2) & (3),,SO050130,,
014,SO05,SO05014,Trespass on sites designated by order of Sec of State,01/07/2005,,Section: 128,,SO050140,,
015,SO05,SO05015,Organise a demonstration in a public place in a designated area,01/07/2005,,Section: 132(1)(a) & 136(1),,SO050150,,
016,SO05,SO05016,Take part in a demonstration in a public place in a designated area,01/07/2005,,Section: 132(1)(b) & 136(1),,SO050160,,
017,SO05,SO05017,Carry on demonstration by self in a public place in a designated area,01/07/2005,,Section: 132(1)(c) & 136(1),,SO050170,,
018,SO05,SO05018,Organiser of a demo' in a designated area fail to comply with condition imposed by s.134(3),01/07/2005,,Section: 134(7) & 136(3),,SO050180,,
019,SO05,SO05019,Organiser of / person taking part in demonstration in a designated area fail comply with direction under s135,01/07/2005,,Section: 135(3) & 136(3),,SO050190,,
020,SO05,SO05020,Person taking part in demo' in a designated area fail to comply with condition imposed by s.134(3),01/07/2005,,Section: 134(7) & 136(3),,SO050200,,
021,SO05,SO05021,Operate a loudspeaker in contravention of s137(1),01/08/2005,,Section: 137(1) & (4),,SO050210,,
022,SO05,SO05022,Permit the operation of a loudspeaker in contravention of s137(1),01/08/2005,,Section: 137(1) & (4),,SO050220,,
023,SO05,SO05023,Interfere with contractual relationships so as to harm animal research organisation,01/07/2005,,Section: 145 & 147,,SO050230,,
024,SO05,SO05024,Intimidate persons connected with animal research organisation,01/07/2005,,Section: 146 & 147,,SO050240,,
025,SO05,SO05025,Organiser of / person taking part in demonstration in a designated area fail comply with direction under s135,01/07/2005,,Section: 135(3) & 136(3),,SO050250,,
001,SO59,SO59001,Loitering for purpose of prostitution,,,Section: 1(1),,SO590010,,
002,SO59,SO59002,Soliciting for purpose of prostitution,,,Section: 1(1),,SO590020,,
001,SO74,SO74001,Unqualified person acting as solicitor,,,Section: 20,,SO740010,,
002,SO74,SO74002,Unqualified person pretending to be solicitor,,,Section: 21,,SO740020,,
003,SO74,SO74003,Unqualified person drawing up/preparing legal instrument/transfer/charge for purpose of Land Registry Act 1925,,12/10/2003,Section: 22(1)(a),,SO740030,,
004,SO74,SO74004,Unqualified person preparing papers for probate,,,Section: 23(1),,SO740040,,
005,SO74,SO74005,Unqualified body corporate acting as a solicitor,,,Section: 24(1)(a),,SO740050,,
006,SO74,SO74006,Unqualified body corporate individual acting as a solicitor,,,Section: 24(1)(b),,SO740060,,
007,SO74,SO74007,Disqualified solicitor failing to disclose being struck off or suspended,,,Section: 42(1),,SO740070,,
008,SO74,SO74008,Former solicitor failing to disclose direction under section 47(2)(g) this Act.,,,Section: 42(1A),,SO740080,,
009,SO74,SO74009,Former solicitor employee fail to disclose order under section 43(2) this Act.,,,Section: 44(1),,SO740090,,
010,SO74,SO74010,Unqualified person making an application for registration at the registry under Land Registry Act 1925,,12/10/2003,Section: 22(1)(a),,SO740100,,
011,SO74,SO74011,Unqualified person lodging a document for registration at the registry under Land Registry Act 1925,,12/10/2003,Section: 22(1)(a),,SO740110,,
012,SO74,SO74012,Unqualified person preparing legal instrument relating to real or personal estate or relating to any legal proceeding,,,Section: 22(1)(b),,SO740120,,
013,SO74,SO74013,Unqualified person drawing up/preparing legal instrument/transfer/charge for purpose of Land Registration Act 2002,13/10/2003,,Section: 22(1)(a),,SO740130,,
014,SO74,SO74014,Unqualified person lodging a document for registration at the registry under Land Registration Act 2002,13/10/2003,,Section: 22(1)(a),,SO740140,,
015,SO74,SO74015,Unqualified person making an application for registration at the registry under Land Registration Act 2002,13/10/2003,,Section: 22(1)(a),,SO740150,,
001,SO96,SO96001,Conspiracy to commit the offence of rape outside the United Kingdom,,01/01/1901,Section: 1(1) &Sch 1(1)(a)(i),,SO960010,,
002,SO96,SO96002,Conspiracy to have intercourse with a girl under the age of thirteen outside the United Kingdom,,01/01/1901,Section: 1(1) &Sch 1(1)(a)(ii),,SO960020,,
003,SO96,SO96003,Conspiracy to have intercourse with a girl under the age of sixteen outside the United Kingdom,,01/01/1901,Section: 1(1) &Sch 1(1)(a)(iii),,SO960030,,
004,SO96,SO96004,Conspiracy to commit an act of buggery outside the United Kingdom,,01/01/1901,Section: 1(1) &Sch 1(1)(a)(iv),,SO960040,,
005,SO96,SO96005,Conspiracy to indecently assault a girl outside the United Kingdom,,01/01/1901,Section: 1(1) &Sch 1(1)(a)(v),,SO960050,,
006,SO96,SO96006,Conspiracy to indecently assault a boy outside the United Kingdom,,01/01/1901,Section: 1(1) &Sch 1(1)(a)(vi),,SO960060,,
007,SO96,SO96007,Conspiracy to commit an offence under s1 Indecency with Children Act 1960 (indecent conduct towards a young child) outside the United Kingdom,,01/01/1901,Section: 1(1) &Sch 1(1)(b),,SO960070,,
008,SO96,SO96008,Incitement to commit the offence of rape outside the United Kingdom,,08/07/2008,Section: 2(2)a &Sch 1(1)(a)(i),,SO960080,,
009,SO96,SO96009,Incitement to have intercourse with a girl under the age of thirteen outside the United Kingdom,,08/07/2008,Section: 2(2)(a) &Sch 1(1)(a)(ii),,SO960090,,
010,SO96,SO96010,Incitement to have intercourse with a girl under the age of sixteen outside the United Kingdom,,08/07/2008,Section: 2(2)(a) &Sch 1(1)(a)(iii),,SO960100,,
011,SO96,SO96011,Incitement to commit the act of buggery outside the United Kingdom,,08/07/2008,Section: 2(2)(a) &Sch 1(1)(a)(iv),,SO960110,,
012,SO96,SO96012,Incitement to indecently assault a girl outside the United Kingdom,,08/07/2008,Section: 2(2)(a) &Sch 1(1)(a)(v),,SO960120,,
013,SO96,SO96013,Incitement to indecently assault a boy outside the United Kingdom,,08/07/2008,Section: 2(2)(a) &Sch 1(1)(a)(vi),,SO960130,,
014,SO96,SO96014,Incitement to commit an offence under s1 Indecency with Children Act 1960 (indecent conduct towards young child),,08/07/2008,Section: 2(2)(a) &Sch 1(1)(b),,SO960140,,
015,SO96,SO96015,Incite another to commit sexual acts outside of the UK,,01/11/2008,Section: 2,,SO960150,,
001,SO97,SO97001,Possess protected material or copy otherwise than while inspecting it / the copy in circumstances in s4(2)a or 5(4)a,,,Section: 8(1)a,,SO970010,,
002,SO97,SO97002,Give protected material / copy or reveal contents to another,,,Section: 8(1)b,,SO970020,,
003,SO97,SO97003,Person to whom given protected material / copy or contents revealed - give / reveal to another,,,Section: 8(2)(a),,SO970030,,
004,SO97,SO97004,Given / shown protected material gives  copy to defendant in circ's other than described in 4(2)(a) or 5(4)a,,,Section: 8(2)b,,SO970040,,
001,SP04,SP04001,Fail to comply with a requirement imposed under Reg 6(2)(d) to furnish information,01/06/2004,,Section: 6(5)(a) &(6),,SP040010,,
002,SP04,SP04002,In furnishing info under Reg 6(2)(d) made a statement false in a material particular,01/06/2004,,Section: 6(5)(b) &(6),,SP040020,,
003,SP04,SP04003,Fail to comply with the requirement of a detention notice,01/06/2004,,Section: 8,,SP040030,,
004,SP04,SP04004,Intentionally obstruct duly authorised officer acting under power conferred by EEC Reg,01/06/2004,,Section: 12(1)(a) & (2),,SP040040,,
005,SP04,SP04005,Falsely pretend to be an a duly authorised officer,01/06/2004,,Section: 12(1)(b) & (3),,SP040050,,
006,SP04,SP04006,Fail without reasonable excuse to comply with an enforcement order,01/06/2004,,Section: 15,,SP040060,,
007,SP04,SP04007,Go onto/into any part of restricted area of a ship,01/06/2004,,Section: 10(1)(a)  & (3),,SP040070,,
008,SP04,SP04008,Remain in any part of restricted area of a ship after request to leave,01/06/2004,,Section: 10(1)(b)  & (3),,SP040080,,
001,SP67,SP67001,Failing to render poultry insensible to pain and thereafter to slaughter them instantaneously,,,Section: 1(1)  &  (3),,SP670010,,
002,SP67,SP67002,Slaughterer of poultry failing to register with Local Authority,,,Section: 2(1),,SP670020,,
003,SP67,SP67003,Intentionally obstructing person exercising power of entry and inspection,,,Section: 4(4),,SP670030,,
001,SP85,SP85001,Causing liquor to be carried on public service vehicle,,,Section: 1(2),,SP850010,,
002,SP85,SP85002,Permitting liquor to be carried on public service vehicle,,,Section: 1(2),,SP850020,,
003,SP85,SP85003,Possessing liquor on public service vehicle,,,Section: 1(3),,SP850030,,
004,SP85,SP85004,Being drunk on public service vehicle,,,Section: 1(4),,SP850040,,
005,SP85,SP85005,Causing liquor to be carried on non-public service vehicle adapted to carrying eight or more passengers,,,Section: 1A(2),,SP850050,,
006,SP85,SP85006,Possessing liquor on non-public service vehicle adapted to carrying eight or more passengers,,,Section: 1A(3),,SP850060,,
007,SP85,SP85007,Being drunk on non-public service vehicle adapted to carrying eight or more passengers,,,Section: 1A(4),,SP850070,,
008,SP85,SP85008,Possessing liquor in sports ground,,,Section: 2(1)(a),,SP850080,,
009,SP85,SP85009,Possessing disposable drink container in sports ground,,,Section: 2(1)(a),,SP850090,,
010,SP85,SP85010,Possessing article capable of causing injury in sports ground,,,Section: 2(1)(a),,SP850100,,
011,SP85,SP85011,Possessing liquor while entering sports ground,,,Section: 2(1)(b),,SP850110,,
